zone_id,zone_name,polygon_coordinates,value
11,PASIR PANJANG,"POLYGON((103.801 1.28421,103.801 1.28306,103.802 1.28151,103.802 1.28143,103.803 1.27914,103.803 1.27908,103.803 1.27874,103.803 1.27817,103.802 1.27543,103.802 1.27445,103.802 1.27371,103.802 1.27272,103.802 1.27077,103.803 1.26981,103.803 1.26923,103.806 1.2663,103.806 1.26624,103.807 1.26564,103.807 1.26556,103.807 1.26478,103.805 1.26208,103.801 1.26561,103.801 1.26639,103.798 1.26842,103.796 1.26713,103.778 1.27763,103.77 1.26372,103.747 1.2786,103.754 1.28802,103.769 1.27953,103.772 1.28352,103.765 1.28805,103.767 1.29164,103.768 1.29245,103.769 1.29406,103.769 1.29432,103.769 1.29445,103.77 1.29469,103.77 1.29482,103.77 1.29521,103.77 1.29638,103.77 1.29814,103.77 1.2984,103.77 1.29941,103.77 1.29963,103.77 1.29981,103.77 1.30011,103.77 1.3002,103.77 1.30033,103.771 1.30147,103.771 1.30191,103.771 1.30254,103.771 1.30336,103.771 1.30369,103.771 1.30388,103.771 1.30407,103.774 1.30256,103.78 1.29919,103.783 1.29734,103.785 1.29537,103.787 1.29372,103.788 1.29233,103.792 1.28967,103.794 1.28867,103.8 1.28455,103.801 1.28421,103.801 1.28421))",31.25
12,WEST COAST/CLEMENTI,"POLYGON((103.747 1.31153,103.747 1.31234,103.752 1.32371,103.754 1.3252,103.755 1.32573,103.756 1.32598,103.757 1.32594,103.759 1.32434,103.76 1.32438,103.762 1.32532,103.763 1.32544,103.764 1.32483,103.766 1.32387,103.768 1.32371,103.77 1.32487,103.771 1.32609,103.772 1.3266,103.774 1.32709,103.776 1.32695,103.775 1.32572,103.775 1.32526,103.774 1.32501,103.774 1.32501,103.774 1.32497,103.773 1.32444,103.772 1.32394,103.772 1.32353,103.771 1.32219,103.771 1.32105,103.771 1.32036,103.771 1.31935,103.772 1.3121,103.772 1.30987,103.772 1.30838,103.771 1.30534,103.771 1.30407,103.771 1.30388,103.771 1.30369,103.771 1.30336,103.771 1.30254,103.771 1.30191,103.771 1.30147,103.77 1.30033,103.77 1.3002,103.77 1.30011,103.77 1.29981,103.77 1.29963,103.77 1.29941,103.77 1.2984,103.77 1.29814,103.77 1.29638,103.77 1.29521,103.77 1.29482,103.77 1.29469,103.769 1.29445,103.769 1.29432,103.769 1.29406,103.768 1.29245,103.767 1.29164,103.765 1.28805,103.76 1.29068,103.762 1.29416,103.758 1.298,103.756 1.29715,103.752 1.30694,103.747 1.31153))",172.75
13,BOUNA VISTA,"POLYGON((103.801 1.28421,103.801 1.28421,103.801 1.28421,103.8 1.28455,103.794 1.28867,103.792 1.28967,103.788 1.29233,103.788 1.29234,103.787 1.29372,103.785 1.29537,103.783 1.29734,103.78 1.29919,103.774 1.30256,103.771 1.30407,103.771 1.30407,103.771 1.30407,103.771 1.30534,103.772 1.30838,103.772 1.30987,103.772 1.3121,103.771 1.31935,103.772 1.3186,103.774 1.31716,103.776 1.31588,103.778 1.31467,103.779 1.3139,103.779 1.31369,103.781 1.31341,103.784 1.31238,103.785 1.31159,103.787 1.3101,103.788 1.30912,103.79 1.30844,103.791 1.30824,103.792 1.30745,103.793 1.30582,103.793 1.30468,103.795 1.30143,103.796 1.29865,103.798 1.29617,103.799 1.29498,103.799 1.29435,103.799 1.29033,103.799 1.28781,103.799 1.28663,103.8 1.28591,103.8 1.28558,103.801 1.28535,103.802 1.28704,103.801 1.28535,103.801 1.28421))",50.25
14,QUEENSTOWN/COMMONWEALTH,"POLYGON((103.803 1.31071,103.803 1.31219,103.803 1.31219,103.803 1.31219,103.803 1.31219,103.803 1.31219,103.803 1.31219,103.804 1.31143,103.803 1.30746,103.802 1.3052,103.802 1.30405,103.803 1.30247,103.804 1.30164,103.805 1.3007,103.806 1.30045,103.807 1.30056,103.808 1.30019,103.81 1.29821,103.813 1.29682,103.815 1.29468,103.816 1.29397,103.815 1.29248,103.814 1.29284,103.811 1.29307,103.81 1.29346,103.809 1.29351,103.808 1.29334,103.807 1.2914,103.805 1.28937,103.803 1.28837,103.802 1.28704,103.801 1.28535,103.8 1.28558,103.8 1.28591,103.799 1.28663,103.799 1.28781,103.799 1.29033,103.799 1.29435,103.799 1.29498,103.798 1.29617,103.796 1.29865,103.795 1.30143,103.793 1.30468,103.793 1.30582,103.792 1.30745,103.791 1.30824,103.792 1.30827,103.793 1.30809,103.795 1.30649,103.795 1.30634,103.796 1.30643,103.796 1.30695,103.797 1.30819,103.798 1.30837,103.798 1.30821,103.799 1.30937,103.799 1.30956,103.8 1.30962,103.802 1.30884,103.803 1.31071))",87.75
15,BUKIT MERAH,"POLYGON((103.824 1.28693,103.824 1.28671,103.825 1.28634,103.825 1.28516,103.825 1.28477,103.825 1.28349,103.824 1.28186,103.824 1.28117,103.824 1.28092,103.824 1.27968,103.824 1.27877,103.824 1.27857,103.821 1.27886,103.819 1.27926,103.818 1.28046,103.815 1.28232,103.813 1.28309,103.811 1.28346,103.807 1.28367,103.804 1.2839,103.801 1.28421,103.801 1.28535,103.802 1.28704,103.803 1.28837,103.805 1.28937,103.807 1.2914,103.808 1.29334,103.809 1.29351,103.81 1.29346,103.811 1.29307,103.814 1.29284,103.815 1.29248,103.816 1.29397,103.816 1.29575,103.82 1.29464,103.823 1.29378,103.823 1.29343,103.823 1.29263,103.823 1.29253,103.825 1.29264,103.826 1.29298,103.825 1.29246,103.826 1.2918,103.825 1.29116,103.823 1.29133,103.823 1.29084,103.823 1.28892,103.823 1.28826,103.824 1.28693))",110.75
16,TIONG BAHRU,"POLYGON((103.834 1.29304,103.836 1.29295,103.836 1.29293,103.836 1.29259,103.836 1.29084,103.838 1.29005,103.84 1.29029,103.84 1.29112,103.841 1.29121,103.841 1.29102,103.841 1.2895,103.841 1.2892,103.842 1.28821,103.842 1.28717,103.842 1.28643,103.842 1.28526,103.842 1.28411,103.84 1.28169,103.84 1.28067,103.837 1.27889,103.837 1.27804,103.835 1.27685,103.835 1.2763,103.833 1.27625,103.831 1.27544,103.829 1.27506,103.827 1.27715,103.825 1.27797,103.824 1.27857,103.824 1.27877,103.824 1.27968,103.824 1.28092,103.824 1.28117,103.824 1.28186,103.825 1.28349,103.825 1.28477,103.825 1.28516,103.825 1.28634,103.825 1.28659,103.824 1.28694,103.823 1.28826,103.823 1.28892,103.823 1.29084,103.823 1.29133,103.825 1.29116,103.826 1.2918,103.825 1.29246,103.826 1.29298,103.828 1.29351,103.83 1.29287,103.833 1.29311,103.833 1.29311,103.834 1.29304))",217.5
17,FORT CANNING,"POLYGON((103.848 1.29853,103.849 1.29785,103.849 1.29739,103.85 1.29587,103.85 1.29533,103.851 1.29484,103.852 1.29417,103.853 1.29514,103.854 1.29487,103.854 1.2941,103.854 1.29305,103.855 1.29195,103.856 1.29098,103.857 1.29097,103.857 1.29056,103.857 1.28981,103.858 1.28866,103.853 1.28863,103.853 1.28862,103.853 1.2877,103.853 1.28717,103.852 1.28667,103.852 1.28666,103.852 1.28641,103.851 1.28645,103.851 1.28646,103.851 1.28688,103.851 1.28691,103.85 1.28886,103.85 1.28887,103.849 1.28916,103.849 1.28917,103.849 1.28935,103.849 1.28937,103.848 1.28979,103.847 1.28995,103.847 1.28986,103.845 1.28931,103.845 1.28932,103.845 1.28949,103.845 1.2895,103.845 1.29048,103.844 1.29121,103.843 1.29156,103.844 1.29354,103.844 1.29355,103.844 1.29527,103.844 1.29682,103.844 1.29754,103.845 1.29798,103.846 1.29829,103.847 1.29864,103.848 1.29853))",35.5
18,BUGIS,"POLYGON((103.849 1.29974,103.85 1.3011,103.85 1.30384,103.85 1.30519,103.851 1.30532,103.851 1.30505,103.852 1.30474,103.852 1.30434,103.853 1.30411,103.854 1.30318,103.855 1.30318,103.856 1.30374,103.857 1.30321,103.859 1.30077,103.86 1.29943,103.86 1.29859,103.859 1.29731,103.857 1.2955,103.856 1.29312,103.855 1.29195,103.854 1.29305,103.854 1.2941,103.854 1.29487,103.853 1.29514,103.852 1.29417,103.851 1.29484,103.85 1.29533,103.85 1.29587,103.849 1.29739,103.849 1.29785,103.848 1.29854,103.848 1.29894,103.849 1.29935,103.849 1.29974))",77.5
37,PAYA LEBAR/CIRCUIT ROAD,"POLYGON((103.884 1.32713,103.88 1.32727,103.88 1.32741,103.88 1.32772,103.885 1.32767,103.885 1.33064,103.886 1.33117,103.887 1.33172,103.889 1.33239,103.89 1.33016,103.89 1.32786,103.89 1.32649,103.891 1.32561,103.891 1.32421,103.891 1.32301,103.889 1.3225,103.886 1.32236,103.884 1.32212,103.884 1.32484,103.885 1.32683,103.884 1.32713))",72.5
19,SULTAN MOSQUE,"POLYGON((103.856 1.30374,103.858 1.30543,103.858 1.30543,103.859 1.30553,103.859 1.30554,103.86 1.30583,103.861 1.30631,103.862 1.3063,103.862 1.30613,103.863 1.30608,103.863 1.30608,103.863 1.30612,103.864 1.30633,103.864 1.30679,103.864 1.3068,103.865 1.30734,103.865 1.30709,103.867 1.30482,103.868 1.30551,103.869 1.30466,103.868 1.30398,103.865 1.30217,103.865 1.30216,103.863 1.30025,103.863 1.30017,103.86 1.29859,103.86 1.29943,103.859 1.30077,103.857 1.30321,103.856 1.30374))",129.75
